as_of_date,latest_close,horizon,target_date,model,pred_return,pred_direction,direction_label,score_up,predicted_close,rank_score,test_balanced_accuracy,test_f1,test_spearman_ic,test_strategy_sharpe,current_regime
2026-07-01,1865.37,5,2026-07-08,MACD 12-26-9,0.005546065685213405,1,Bullish,1.0,1875.7154645472262,0.7,0.518442502354049,0.5725490196078431,0.02544871830488099,0.9119070232840213,
2026-07-01,1865.37,5,2026-07-08,SVC,0.008519759728004474,1,Bullish,0.6141048746034261,1881.2625042038276,0.8,0.5217381709039548,0.6530612244897959,0.03609161239694474,0.946990430848849,
2026-07-01,1865.37,5,2026-07-08,SVR,0.019322134333534486,1,Bullish,0.6265773815599374,1901.4129297217453,0.2,0.4898334510357816,0.530241935483871,0.003926747457209485,0.2603666917708995,
2026-07-01,1865.37,5,2026-07-08,Random Forest,0.0025372955822141343,1,Bullish,0.5499825845166545,1870.1029950601944,0.625,0.5172507650659134,0.6496598639455783,0.012597071629949275,0.6788939003780732,
2026-07-01,1865.37,5,2026-07-08,XGBoost,0.001457178732380271,1,Bullish,0.5590009689331055,1868.0881774920201,0.5,0.50080920433145,0.6724821570182395,-0.012307104717606253,0.7107004751362903,
2026-07-01,1865.37,5,2026-07-08,LightGBM,0.0018943999966056675,1,Bullish,0.5428533694655016,1868.9037569216682,0.275,0.49545374293785316,0.6258620689655172,-0.05075252467770313,0.5091138730615422,
2026-07-01,1865.37,5,2026-07-08,CatBoost,0.001787294943379142,1,Bullish,0.5666208556542923,1868.703966368531,0.625,0.5146686676082862,0.6617038875103392,-0.010692103004574209,0.7431217456918728,
2026-07-01,1865.37,5,2026-07-08,HMM Regime,0.013126098104507194,1,Bullish,1.0,1889.8550296212045,0.775,0.5356932674199624,0.6066350710900474,0.04785058793582302,1.514779742248166,2.0
2026-07-01,1865.37,20,2026-07-29,MACD 12-26-9,0.01600464006603319,1,Bullish,1.0,1895.2245754399762,0.8,0.5328651093748433,0.5965583173996176,0.033809966039991826,0.9119070232840213,
2026-07-01,1865.37,20,2026-07-29,SVC,-0.0010729688142802033,0,Bearish/Flat,0.4938611471866688,1863.368516162906,0.35,0.45754641284615305,0.5643835616438356,-0.10524840084479145,0.9002379569713923,
2026-07-01,1865.37,20,2026-07-29,SVR,0.025083125891918696,1,Bullish,0.5712663612165364,1912.159310545008,0.4,0.5203053067610804,0.5316718587746625,0.07427241596075587,0.29556148307413105,
2026-07-01,1865.37,20,2026-07-29,Random Forest,0.0048127529060724705,0,Bearish/Flat,0.4804399463592318,1874.3475648884003,0.6,0.5049196112453989,0.6469093988145639,-0.10574990817720387,0.5679131593520675,
2026-07-01,1865.37,20,2026-07-29,XGBoost,-0.009975233115255833,0,Bearish/Flat,0.44466066360473633,1846.7624994037951,0.725,0.5344473085062637,0.6649616368286445,0.013688453691611202,0.2267129907984973,
2026-07-01,1865.37,20,2026-07-29,LightGBM,-0.011111716184647494,0,Bearish/Flat,0.4411958664175314,1844.642537980644,0.5,0.5311625527817618,0.6299638989169675,-0.01881640131279933,0.2971300855598655,
2026-07-01,1865.37,20,2026-07-29,CatBoost,-0.0027856089244893776,0,Bearish/Flat,0.3821005893371618,1860.173808680525,0.55,0.5338530435393117,0.6455026455026455,-0.10584048799522168,0.5439394436127412,
2026-07-01,1865.37,20,2026-07-29,HMM Regime,0.035935635480431834,1,Bullish,1.0,1932.4032563561332,0.575,0.4908653701493435,0.5827937095282146,-0.016476413710200644,1.514779742248166,3.0
2026-07-01,1865.37,60,2026-09-23,MACD 12-26-9,0.038187546601304925,1,Bullish,1.0,1936.6039038036758,0.7,0.4658093394102227,0.5714285714285714,0.019667180932487885,0.9119070232840213,
2026-07-01,1865.37,60,2026-09-23,SVC,0.052646137221380535,1,Bullish,0.6472414189887418,1963.5745249886463,0.55,0.5091697214275615,0.6502963590177815,-0.07454306295687631,0.3911716294159643,
2026-07-01,1865.37,60,2026-09-23,SVR,0.12323478284866062,1,Bullish,0.6658177251126726,2095.248466882406,0.35,0.4684117781427779,0.5690909090909091,-0.003486071769107995,0.30675369711511563,
2026-07-01,1865.37,60,2026-09-23,Random Forest,0.012158291274053755,0,Bearish/Flat,0.4280881026622587,1888.0497117938814,0.65,0.5115437329359425,0.6554338668913227,-0.11792787980533359,0.45288958894367565,
2026-07-01,1865.37,60,2026-09-23,XGBoost,-0.020665189251303673,0,Bearish/Flat,0.342916339635849,1826.8217759262955,0.5,0.4856689110547899,0.6163194444444444,-0.1336271067283742,0.6277019718996553,
2026-07-01,1865.37,60,2026-09-23,LightGBM,-0.021030802844691977,0,Bearish/Flat,0.26700006273007515,1826.1397712975968,0.575,0.4730347100605876,0.5544186046511628,-0.056221587767833446,0.795961719600233,
2026-07-01,1865.37,60,2026-09-23,CatBoost,-0.007384512510780018,0,Bearish/Flat,0.3620334009285398,1851.5951518977663,0.475,0.4788895173659078,0.5878136200716846,-0.15918835909398008,0.6759345824143661,
2026-07-01,1865.37,60,2026-09-23,HMM Regime,0.06248787753098853,1,Bullish,1.0,1981.93301210998,0.7,0.43918940967878783,0.6852409638554217,-0.09112811283365051,0.9145259228978577,3.0
